LAT,LON,SIV,REMOTE,FAILSAFE,L_PWM,R_PWM,GPS_HEADING,GPS_SPEED,Setpoint_Speed,Setpoint_Yaw,L_setpoint,R_setpoint
39.9401355,32.822994,17,1,0,800,800,7.69,0.44,0.5255309542303114,7.575876000255745,801.3116503829793,799.217983296217
39.9401321,32.8229988,17,1,0,1003,999,7.69,0.44,0.3775745566683625,7.557950903566764,1000.5825471536753,994.6806117865048
39.9401259,32.8230025,17,1,0,1002,999,59.35,0.64,0.6620057989179077,59.15311769623668,1000.3972449485708,998.76735245565
39.940116,32.8230108,17,1,0,1002,999,119.05,0.98,0.972424426888875,118.96683464519592,1005.6633263109036,999.0074622862426
39.9401089,32.8230164,17,1,0,800,800,133.79,0.88,0.8551275199829826,133.62183658093252,800.0162351281508,801.5872581667795
39.9401037,32.8230216,16,1,0,800,999,140.82,0.81,0.8830288020218897,140.76124718741332,798.7413979100193,1000.8295582707534
39.9400925,32.8230312,18,1,0,800,800,146.33,0.99,1.0449299167717292,146.16929784380503,804.2229699560231,802.25452547789
39.9400859,32.8230396,16,1,0,1002,800,143.2,0.97,0.955534646080296,143.17587548627665,998.8103318490328,801.3921078213021
39.9400817,32.8230447,16,1,0,800,800,140.76,0.84,0.8269446580694708,140.77995264131746,800.8098635041978,799.7736340425485
39.9400764,32.8230521,15,1,0,800,800,137.9,0.87,0.8800490019791011,137.90925271622916,803.8188140803366,798.0739735557129
39.9400716,32.8230543,14,1,0,800,800,142.08,0.75,0.7822391044188778,142.0293019548772,800.3149198289074,799.39444116135
39.9400669,32.8230571,14,0,0,800,800,146.51,0.68,0.7116189106871587,146.5589411651175,802.5900889892141,800.6984772491084
39.9400652,32.823057,13,1,0,800,800,146.51,0.48,0.5038249718008802,146.537555550124,802.3945199049309,800.825286820428
39.9400605,32.8230615,14,1,0,800,800,146.51,0.52,0.5574703866429553,146.46461721132127,796.8044818776384,799.1066193120093
39.9400569,32.8230662,12,1,0,1002,800,146.51,0.55,0.5901103841461857,146.57355882330938,1007.4862164193828,799.2381513829743
39.9400413,32.8230702,13,1,0,800,800,158.99,1.01,0.9281486225496534,158.95736165487966,800.4825384615482,796.7794940972386
39.9400385,32.8230718,15,1,0,800,800,158.99,0.64,0.6361601437084294,159.08105650484515,804.8661951808842,799.3644633685569
39.9400374,32.823068,15,1,0,800,800,158.99,0.4,0.3720848778711018,159.00096061250693,802.975563542072,803.1593758805076
39.9400375,32.8230701,16,1,0,1003,800,158.99,0.07,0.1081749693299469,159.162096242506,1005.0389762674972,798.1640115162224
